DN,objectClass,distinguishedName,instanceType,whenCreated,whenChanged,subRefs,uSNCreated,dSASignature,uSNChanged,name,objectGUID,creationTime,forceLogoff,lockoutDuration,lockOutObservationWindow,lockoutThreshold,maxPwdAge,minPwdAge,minPwdLength,modifiedCountAtLastProm,nextRid,pwdProperties,pwdHistoryLength,objectSid,serverState,uASCompat,modifiedCount,auditingPolicy,nTMixedDomain,rIDManagerReference,fSMORoleOwner,systemFlags,wellKnownObjects,objectCategory,isCriticalSystemObject,gPLink,dSCorePropagationData,otherWellKnownObjects,masteredBy,ms-DS-MachineAccountQuota,msDS-Behavior-Version,msDS-PerUserTrustQuota,msDS-AllUsersTrustQuota,msDS-PerUserTrustTombstonesQuota,msDs-masteredBy,msDS-IsDomainFor,msDS-NcType,dc,cn,description,showInAdvancedViewOnly,ou,msDS-TombstoneQuotaFactor,displayName,flags,versionNumber,gPCFunctionalityVersion,gPCFileSysPath,gPCMachineExtensionNames,ipsecName,ipsecID,ipsecDataType,ipsecData,ipsecISAKMPReference,ipsecNFAReference,ipsecOwnersReference,ipsecNegotiationPolicyReference,ipsecFilterReference,iPSECNegotiationPolicyType,iPSECNegotiationPolicyAction,revision,memberOf,userAccountControl,badPwdCount,codePage,countryCode,badPasswordTime,lastLogoff,lastLogon,logonHours,pwdLastSet,primaryGroupID,adminCount,accountExpires,logonCount,sAMAccountName,sAMAccountType,lockoutTime,lastLogonTimestamp,msDS-SupportedEncryptionTypes,member,groupType,samDomainUpdates,localPolicyFlags,operatingSystem,operatingSystemVersion,operatingSystemServicePack,serverReferenceBL,dNSHostName,rIDSetReferences,servicePrincipalName,msDFSR-ComputerReferenceBL,rIDAvailablePool,rIDAllocationPool,rIDPreviousAllocationPool,rIDUsedPool,rIDNextRID,dnsRecord,msDFSR-Flags,msDFSR-ReplicationGroupType,msDFSR-FileFilter,msDFSR-DirectoryFilter,serverReference,msDFSR-ComputerReference,msDFSR-MemberReferenceBL,msDFSR-Version,msDFSR-ReplicationGroupGuid,msDFSR-MemberReference,msDFSR-RootPath,msDFSR-StagingPath,msDFSR-Enabled,msDFSR-Options,msDFSR-ContentSetGuid,msDFSR-ReadOnly,lastSetTime,priorSetTime,givenName,userPrincipalName,gPCUserExtensionNames
"CN=NTDS Quotas,DC=domain,DC=local",msDS-QuotaContainer,"CN=NTDS Quotas,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5833,,5833,NTDS Quotas,X'9c3d73d0d10bd748bdf404386769fbf9',,,,,,,,,,,,,,,,,,,,,-2147483648,,"CN=ms-DS-Quota-Container,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,NTDS Quotas,Quota specifications container,TRUE,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Managed Service Accounts,DC=domain,DC=local",container,"CN=Managed Service Accounts,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5834,,5834,Managed Service Accounts,X'3702bbabfdd7684697c0f1b8d398c21a',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=domain,DC=local",,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,Managed Service Accounts,Default container for managed service accounts,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=WinsockServices,CN=System,DC=domain,DC=local",container,"CN=WinsockServices,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5699,,5699,WinsockServices,X'8be2176e1a30e54fb704a04db69fb167',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,WinsockServices,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=RpcServices,CN=System,DC=domain,DC=local",rpcContainer,"CN=RpcServices,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5700,,5700,RpcServices,X'7f4237cebcc15848bfc45dd6ab22b90a',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Rpc-Container,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,RpcServices,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=FileLinks,CN=System,DC=domain,DC=local",fileLinkTracking,"CN=FileLinks,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5701,,5701,FileLinks,X'e8734fdb5681544584f7788d46d05630',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=File-Link-Tracking,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,FileLinks,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=VolumeTable,CN=FileLinks,CN=System,DC=domain,DC=local",linkTrackVolumeTable,"CN=VolumeTable,CN=FileLinks,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5702,,5702,VolumeTable,X'c2e4e1aa0b34584daf7a8490d22a5c14',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Link-Track-Volume-Table,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000000.0Z,,,,,,,,,,,,VolumeTable,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ObjectMoveTable,CN=FileLinks,CN=System,DC=domain,DC=local",linkTrackObjectMoveTable,"CN=ObjectMoveTable,CN=FileLinks,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5703,,5703,ObjectMoveTable,X'daf21c50fdcd634980339a0b614a783d',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Link-Track-Object-Move-Table,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,ObjectMoveTable,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Default Domain Policy,CN=System,DC=domain,DC=local",domainPolicy,"CN=Default Domain Policy,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5704,,5704,Default Domain Policy,X'c275496cf633354fb27cc876ffa66316',,,,,,,,,,,,,,,,,,,,,,,"CN=Domain-Policy,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,Default Domain Policy,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=AppCategories,CN=Default Domain Policy,CN=System,DC=domain,DC=local",classStore,"CN=AppCategories,CN=Default Domain Policy,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5705,,5705,AppCategories,X'ed0a89eaa7bbcb42afc2e8b3ed800a8c',,,,,,,,,,,,,,,,,,,,,,,"CN=Class-Store,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,AppCategories,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Meetings,CN=System,DC=domain,DC=local",container,"CN=Meetings,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5706,,5706,Meetings,X'4563f447acadef42ba224572d26730de',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,Meetings,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Policies,CN=System,DC=domain,DC=local",container,"CN=Policies,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5707,,5707,Policies,X'9d1c4d9e6d344c4ca4236e0472a8a020',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,Policies,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=domain,DC=local",groupPolicyContainer,"CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606030227.0Z,,5708,,12691,{31B2F340-016D-11D2-945F-00C04FB984F9},X'55b32afbf66f134c8511fee205d618b8',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Group-Policy-Container,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000000.0Z,,,,,,,,,,,,{31B2F340-016D-11D2-945F-00C04FB984F9},,TRUE,,,Default Domain Policy,0,3,2,\\\\domain.local\\sysvol\\domain.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9},[{35378EAC-683F-11D2-A89A-00C04FBBCFA2}{53D6AB1B-2488-11D1-A28C-00C04FB94F17}][{827D319E-6EAC-11D2-A4EA-00C04F79F83A}{803E14A0-B4FB-11D0-A0D0-00A0C90F574B}][{B1BE8D72-6EAC-11D2-A4EA-00C04F79F83A}{53D6AB1B-2488-11D1-A28C-00C04FB94F17}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=User,CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=domain,DC=local",container,"CN=User,CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5709,,5709,User,X'f96408fb681ddd468dc02efcb496ddc1',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,16010101000000.0Z,,,,,,,,,,,,User,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Machine,CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=domain,DC=local",container,"CN=Machine,CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5710,,5710,Machine,X'0ed442fa505b8d4a8464b2360490a39b',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,16010101000000.0Z,,,,,,,,,,,,Machine,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=domain,DC=local",groupPolicyContainer,"CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5711,,5711,{6AC1786C-016F-11D2-945F-00C04fB984F9},X'17dbf2a49f8dca40bef71dd80ab63ac6',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Group-Policy-Container,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000000.0Z,,,,,,,,,,,,{6AC1786C-016F-11D2-945F-00C04fB984F9},,TRUE,,,Default Domain Controllers Policy,0,1,2,\\\\domain.local\\sysvol\\domain.local\\Policies\\{6AC1786C-016F-11D2-945F-00C04fB984F9},[{827D319E-6EAC-11D2-A4EA-00C04F79F83A}{803E14A0-B4FB-11D0-A0D0-00A0C90F574B}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=User,CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=domain,DC=local",container,"CN=User,CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5712,,5712,User,X'19ff46dd35244543a8111c3452666c99',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,16010101000000.0Z,,,,,,,,,,,,User,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Machine,CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=domain,DC=local",container,"CN=Machine,CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5713,,5713,Machine,X'a1bb9871af642d4bb3c14bb128d2b7a2',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,16010101000000.0Z,,,,,,,,,,,,Machine,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=RAS and IAS Servers Access Check,CN=System,DC=domain,DC=local",container,"CN=RAS and IAS Servers Access Check,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5714,,5714,RAS and IAS Servers Access Check,X'12214fcf56074242a467a68a5357c8e8',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,RAS and IAS Servers Access Check,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=File Replication Service,CN=System,DC=domain,DC=local",nTFRSSettings,"CN=File Replication Service,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5715,,5715,File Replication Service,X'3ddddcf364f23b4d976a89240c46ecd3',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=NTFRS-Settings,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,File Replication Service,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Dfs-Configuration,CN=System,DC=domain,DC=local",dfsConfiguration,"CN=Dfs-Configuration,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5716,,5716,Dfs-Configuration,X'4d9cefa25319fa48b3355f2ab24665bb',,,,,,,,,,,,,,,,,,,,,,,"CN=Dfs-Configuration,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,Dfs-Configuration,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=IP Security,CN=System,DC=domain,DC=local",container,"CN=IP Security,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5717,,5717,IP Security,X'7a6d214aae255042bd4063db47ed4623',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,IP Security,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
